# AFGL atmospheric constituent profile. subarctic summer. ( AFGL-TR-86-0110). Modified to keep every second layer between 10 and 50km, and only 85 and 120km beyond.       
#     z(km)      p(mb)        T(K)    air(cm-3)    o3(cm-3)     o2(cm-3)    h2o(cm-3)    co2(cm-3)     no2(cm-3)
    120.000     0.00002     380.000 4.307612E+11 2.155500E+02 3.125475E+10 8.622001E+04 1.508850E+07 6.509610E+01
     85.000     0.00451     161.700 2.020125E+14 1.314300E+08 4.044000E+13 2.689260E+08 6.470400E+10 3.882240E+04
     47.500     1.34000     276.200 3.513929E+16 1.125120E+11 7.348440E+15 1.758000E+11 1.160280E+13 2.341656E+07
     42.500     2.48000     269.500 6.665071E+16 3.601800E+11 1.394030E+16 3.335000E+11 2.201100E+13 1.447390E+08
     37.500     4.72000     254.600 1.342751E+17 1.048320E+12 2.808960E+16 6.720000E+11 4.435200E+13 8.413440E+08
     32.500     9.40000     240.000 2.836798E+17 1.958910E+12 5.933510E+16 1.419500E+12 9.368700E+13 2.046919E+09
     27.500    19.23000     231.000 6.029470E+17 3.198020E+12 1.261106E+17 2.986830E+12 1.991220E+14 2.902354E+09
     24.000    32.28000     226.600 1.031776E+18 4.338600E+12 2.158970E+17 5.010049E+12 3.408900E+14 3.160980E+09
     22.000    43.60000     225.200 1.402264E+18 4.629900E+12 2.932270E+17 6.734400E+12 4.629900E+14 3.030480E+09
     20.000    59.00000     225.200 1.897560E+18 3.987900E+12 3.968910E+17 8.735400E+12 6.266700E+14 2.639610E+09
     18.000    79.80000     225.200 2.566530E+18 3.338400E+12 5.367120E+17 1.104240E+13 8.474400E+14 1.979928E+09
     16.000   108.00000     225.200 3.473499E+18 2.954600E+12 7.264840E+17 1.390400E+13 1.147080E+15 1.108844E+09
     14.000   146.00000     225.200 4.695657E+18 2.819400E+12 9.820909E+17 1.879600E+13 1.550670E+15 3.514852E+08
     12.000   197.70000     225.200 6.358433E+18 2.608830E+12 1.329867E+18 3.817800E+13 2.099790E+15 2.004345E+08
     10.000   267.70001     225.200 8.609776E+18 1.628424E+12 1.800744E+18 3.653184E+14 2.843280E+15 2.050608E+08
      9.000   310.79999     232.200 9.694616E+18 1.377542E+12 2.027509E+18 1.261130E+15 3.201330E+15 2.250632E+08
      8.000   359.00000     239.200 1.087039E+19 9.916032E+11 2.273920E+18 4.347648E+15 3.590400E+15 2.502400E+08
      7.000   413.00000     246.100 1.215487E+19 9.409409E+11 2.541440E+18 9.692736E+15 4.012800E+15 2.796800E+08
      6.000   474.00000     253.100 1.356432E+19 8.907348E+11 2.836130E+18 1.804810E+16 4.478100E+15 3.121100E+08
      5.000   541.00000     260.100 1.506498E+19 8.034624E+11 3.151720E+18 3.344744E+16 4.976400E+15 3.468400E+08
      4.000   616.00000     265.500 1.680459E+19 7.531996E+11 3.515380E+18 5.685160E+16 5.550600E+15 3.868600E+08
      3.000   700.00000     270.900 1.871548E+19 7.280351E+11 3.914570E+18 9.027860E+16 6.180900E+15 4.307900E+08
      2.000   792.90002     276.300 2.078497E+19 7.028321E+11 4.347200E+18 1.404000E+17 6.864000E+15 4.784000E+08
      1.000   896.00000     281.700 2.303737E+19 6.776700E+11 4.817450E+18 2.005581E+17 7.606500E+15 5.301500E+08
      0.000  1010.00000     287.200 2.547116E+19 6.148188E+11 5.327410E+18 3.043506E+17 8.411700E+15 5.862700E+08
